aba	a . b a
kgore	k͡x ʊ . r ɪ
kgoreleditse	k͡x ʊ . r ɪ . l ɪ . d i . t͡sʼ ɪ
kgorelediwa	k͡x ʊ . r ɪ . l ɪ . d i . w a
kgorelediwe	k͡x ʊ . r ɪ . l ɪ . d i . w ɪ
kgoreletsa	k͡x ʊ . r ɪ . l ɪ . t͡sʼ a
kgoreletsana	k͡x ʊ . r ɪ . l ɪ . t͡sʼ a . n a
kgoreletsang	k͡x ʊ . r ɪ . l ɪ . t͡sʼ a . ŋ
kgoreletsanya	k͡x ʊ . r ɪ . l ɪ . t͡sʼ a . ɲ a
kgoreletsega	k͡x ʊ . r ɪ . l ɪ . t͡sʼ ɪ . x a
kgoreletsegang	k͡x ʊ . r ɪ . l ɪ . t͡sʼ ɪ . x a . ŋ
kgoreletse	k͡x ʊ . r ɪ . l ɪ . t͡sʼ ɪ
kgoreletso	k͡x ʊ . r ɪ . l ɪ . t͡sʼ ʊ
kgoreletsong	k͡x ʊ . r ɪ . l ɪ . t͡sʼ ʊ . ŋ
kgorikgoring	k͡x ʊ . r i . k͡x ʊ . r i . ŋ
kgori	k͡x ʊ . r i
kgorisa	k͡x ʊ . r i . s a
kgorise	k͡x ʊ . r i . s ɪ
kgorogo	k͡x ʊ . r ʊ . x ʊ
kgorogong	k͡x ʊ . r ʊ . x ʊ . ŋ
kgoro	k͡x ʊ . r ʊ
kgoromelediwa	k͡x ʊ . r ʊ . m ɪ . l ɪ . d i . w a
kgoromeletsa	k͡x ʊ . r ʊ . m ɪ . l ɪ . t͡sʼ a
kgorometsa	k͡x ʊ . r ʊ . m ɪ . t͡sʼ a
kgorometse	k͡x ʊ . r ʊ . m ɪ . t͡sʼ ɪ
kgorong	k͡x ʊ . r ʊ . ŋ
kgoroso	k͡x ʊ . r ʊ . s ʊ
kgorwana	k͡x ʊ . r w a . n a
kgosa	k͡x ʊ . s a
kgosana	k͡x ʊ . s a . n a
kgosaneng	k͡x ʊ . s a . n ɪ . ŋ
kgosigadi	k͡x ʊ . s i . x a . d i
kgosikgolo	k͡x ʊ . s i . k͡x ʊ . l ʊ
kgosi	k͡x ʊ . s i
kgosing	k͡x ʊ . s i . ŋ
kgosomano	k͡x ʊ . s ʊ . m a . n ʊ
kgotelo	k͡x ʊ . tʼ ɪ . l ʊ
kgothaletsa	k͡x ʊ . tʰ a . l ɪ . t͡sʼ a
kgothatsa	k͡x ʊ . tʰ a . t͡sʼ a
kgothosa	k͡x ʊ . tʰ ʊ . s a
kgothoso	k͡x ʊ . tʰ ʊ . s ʊ
kgotlaganeng	k͡x ʊ . t͡lʼ a . x a . n ɪ . ŋ
kgotlakgolo	k͡x ʊ . t͡lʼ a . k͡x ʊ . l ʊ
kgotlakgolong	k͡x ʊ . t͡lʼ a . k͡x ʊ . l ʊ . ŋ
kgotla	k͡x ʊ . t͡lʼ a
kgotlang	k͡x ʊ . t͡lʼ a . ŋ
kgotlapeomolao	k͡x ʊ . t͡lʼ a . pʼ ɪ . ʊ . m ʊ . l a . ʊ
kgotlapeomolaong	k͡x ʊ . t͡lʼ a . pʼ ɪ . ʊ . m ʊ . l a . ʊ . ŋ
kgotlatheomolao	k͡x ʊ . t͡lʼ a . tʰ ɪ . ʊ . m ʊ . l a . ʊ
kgotlatheomolaong	k͡x ʊ . t͡lʼ a . tʰ ɪ . ʊ . m ʊ . l a . ʊ . ŋ
kgotlatshekelokgolo	k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ . k͡x ʊ . l ʊ
kgotlatshekelo	k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ
kgotlatshekelong	k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ . ŋ
kgotlatsheko	k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ʊ
kgotlela	k͡x ʊ . t͡lʼ ɪ . l a
kgotlelang	k͡x ʊ . t͡lʼ ɪ . l a . ŋ
kgotlelege	k͡x ʊ . t͡lʼ ɪ . l ɪ . x ɪ
kgotlelego	k͡x ʊ . t͡lʼ ɪ . l ɪ . x ʊ
kgotlelela	k͡x ʊ . t͡lʼ ɪ . l ɪ . l a
kgotlelelano	k͡x ʊ . t͡lʼ ɪ . l ɪ . l a . n ʊ
kgotlelelo	k͡x ʊ . t͡lʼ ɪ . l ɪ . l ʊ
kgotlelo	k͡x ʊ . t͡lʼ ɪ . l ʊ
kgotlelwa	k͡x ʊ . t͡lʼ ɪ . l w a
kgotleng	k͡x ʊ . t͡lʼ ɪ . ŋ
kgotletseng	k͡x ʊ . t͡lʼ ɪ . t͡sʼ ɪ . ŋ
kgotletswe	k͡x ʊ . t͡lʼ ɪ . t͡sʼ w ɪ
kgotletsweng	k͡x ʊ . t͡lʼ ɪ . t͡sʼ w ɪ . ŋ
kgotlhang	k͡x ʊ . t͡lʰ a . ŋ
kgotlhanong	k͡x ʊ . t͡lʰ a . n ʊ . ŋ
kgotlhatshekelo	k͡x ʊ . t͡lʰ a . t͡sʰ ɪ . kʼ ɪ . l ʊ
kgotlhela	k͡x ʊ . t͡lʰ ɪ . l a
kgotlhelegileng	k͡x ʊ . t͡lʰ ɪ . l ɪ . x i . l ɪ . ŋ
kgotlhelego	k͡x ʊ . t͡lʰ ɪ . l ɪ . x ʊ
kgotlhele	k͡x ʊ . t͡lʰ ɪ . l ɪ
kgotlhelela	k͡x ʊ . t͡lʰ ɪ . l ɪ . l a
kgotlhelele	k͡x ʊ . t͡lʰ ɪ . l ɪ . l ɪ
kgotlhelo	k͡x ʊ . t͡lʰ ɪ . l ʊ
kgotlhetse	k͡x ʊ . t͡lʰ ɪ . t͡sʼ ɪ
kgotlhokgotsa	k͡x ʊ . t͡lʰ ʊ . k͡x ʊ . t͡sʼ a
kgotlhokgotsha	k͡x ʊ . t͡lʰ ʊ . k͡x ʊ . t͡sʰ a
kgotlhokgotso	k͡x ʊ . t͡lʰ ʊ . k͡x ʊ . t͡sʼ ʊ
kgotlho	k͡x ʊ . t͡lʰ ʊ
kgotlololo	k͡x ʊ . t͡lʼ ʊ . l ʊ . l ʊ
kgotlolotswe	k͡x ʊ . t͡lʼ ʊ . l ʊ . t͡sʼ w ɪ
kgotsafatsa	k͡x ʊ . t͡sʼ a . f a . t͡sʼ a
kgotsa	k͡x ʊ . t͡sʼ a
kgotshe	k͡x ʊ . t͡sʰ ɪ
kgotsi	k͡x ʊ . t͡sʼ i
kgotsofaditse	k͡x ʊ . t͡sʼ ʊ . f a . d i . t͡sʼ ɪ
kgotsofaditswe	k͡x ʊ . t͡sʼ ʊ . f a . d i . t͡sʼ w ɪ
kgotsofadiwa	k͡x ʊ . t͡sʼ ʊ . f a . d i . w a
kgotsofadiwe	k͡x ʊ . t͡sʼ ʊ . f a . d i . w ɪ
kgotsofala	k͡x ʊ . t͡sʼ ʊ . f a . l a
kgotsofale	k͡x ʊ . t͡sʼ ʊ . f a . l ɪ
kgotsofalela	k͡x ʊ . t͡sʼ ʊ . f a . l ɪ . l a
kgotsofalelang	k͡x ʊ . t͡sʼ ʊ . f a . l ɪ . l a . ŋ
kgotsofaletse	k͡x ʊ . t͡sʼ ʊ . f a . l ɪ . t͡sʼ ɪ
kgotsofalo	k͡x ʊ . t͡sʼ ʊ . f a . l ʊ
kgotsofatsa	k͡x ʊ . t͡sʼ ʊ . f a . t͡sʼ a
kgotsofatsang	k͡x ʊ . t͡sʼ ʊ . f a . t͡sʼ a . ŋ
kgotsofatse	k͡x ʊ . t͡sʼ ʊ . f a . t͡sʼ ɪ
kgotsofatseng	k͡x ʊ . t͡sʼ ʊ . f a . t͡sʼ ɪ . ŋ
kgotsofetse	k͡x ʊ . t͡sʼ ʊ . f ɪ . t͡sʼ ɪ
kgotso	k͡x ʊ . t͡sʼ ʊ
kgotsong	k͡x ʊ . t͡sʼ ʊ . ŋ
kgotswa	k͡x ʊ . t͡sʼ w a
kgwadi	k͡x w a . d i
kgwageditswe	k͡x w a . x ɪ . d i . t͡sʼ w ɪ
kgwang	k͡x w a . ŋ
kgwanyape	k͡x w a . ɲ a . pʼ ɪ
kgwaritsakgwaritsa	k͡x w a . r i . t͡sʼ a . k͡x w a . r i . t͡sʼ a
kgwaritsa	k͡x w a . r i . t͡sʼ a
kgwatata	k͡x w a . tʼ a . tʼ a
kgwatha	k͡x w a . tʰ a
kgwathisa	k͡x w a . tʰ i . s a
kgwathisiwa	k͡x w a . tʰ i . s i . w a
kgwatlheng	k͡x w a . t͡lʰ ɪ . ŋ
kgwebisano	k͡x w ɪ . b i . s a . n ʊ
kgwebisanong	k͡x w ɪ . b i . s a . n ʊ . ŋ
kgwebofatsong	k͡x w ɪ . b ʊ . f a . t͡sʼ ʊ . ŋ
kgwebokgolo	k͡x w ɪ . b ʊ . k͡x ʊ . l ʊ
kgwebo	k͡x w ɪ . b ʊ
kgwebong	k͡x w ɪ . b ʊ . ŋ
kgwebopotlana	k͡x w ɪ . b ʊ . pʼ ʊ . t͡lʼ a . n a
kgwedi	k͡x w ɪ . d i
kgweding	k͡x w ɪ . d i . ŋ
kgwedisa	k͡x w ɪ . d i . s a
kgwediso	k͡x w ɪ . d i . s ʊ
kgwedithataro	k͡x w ɪ . d i . tʰ a . tʼ a . r ʊ
kgweediwa	k͡x w ɪ . ɪ . d i . w a
kgweediwang	k͡x w ɪ . ɪ . d i . w a . ŋ
kgweediwe	k͡x w ɪ . ɪ . d i . w ɪ
kgwee	k͡x w ɪ . ɪ
kgweeletsa	k͡x w ɪ . ɪ . l ɪ . t͡sʼ a
kgweetsa	k͡x w ɪ . ɪ . t͡sʼ a
kgweetsang	k͡x w ɪ . ɪ . t͡sʼ a . ŋ
kgweetse	k͡x w ɪ . ɪ . t͡sʼ ɪ
kgweetseng	k͡x w ɪ . ɪ . t͡sʼ ɪ . ŋ
kgweetso	k͡x w ɪ . ɪ . t͡sʼ ʊ
kgwele	k͡x w ɪ . l ɪ
kgweleng	k͡x w ɪ . l ɪ . ŋ
kgweletshipi	k͡x w ɪ . l ɪ . t͡sʰ i . pʼ i
kgwelo	k͡x w ɪ . l ʊ
kgweranaditšhaba	k͡x w ɪ . r a . n a . d i . t͡ʃʰ a . b a
kgweranoditshaba	k͡x w ɪ . r a . n ʊ . d i . t͡sʰ a . b a
kgwetlho	k͡x w ɪ . t͡lʰ ʊ
kgwetlhong	k͡x w ɪ . t͡lʰ ʊ . ŋ
kgwisiwang	k͡x w i . s i . w a . ŋ
khabareng	kʰ a . b a . r ɪ . ŋ
khabone	kʰ a . b ʊ . n ɪ
khadi	kʰ a . d i
khalesiamo	kʰ a . l ɪ . s i . a . m ʊ
khamphaseng	kʰ a . m . pʰ a . s ɪ . ŋ
khanola	kʰ a . n ʊ . l a
khansele	kʰ a . n . s ɪ . l ɪ
khanseleng	kʰ a . n . s ɪ . l ɪ . ŋ
khapetlele	kʰ a . pʼ ɪ . t͡lʼ ɪ . l ɪ
kharikhulamo	kʰ a . r i . kʰ u . l a . m ʊ
kharikhulamong	kʰ a . r i . kʰ u . l a . m ʊ . ŋ
khasekete	kʰ a . s ɪ . kʼ ɪ . tʼ ɪ
khasele	kʰ a . s ɪ . l ɪ
khatlhanong	kʰ a . t͡lʰ a . n ʊ . ŋ
khatlhisang	kʰ a . t͡lʰ i . s a . ŋ
khemising	kʰ ɪ . m i . s i . ŋ
khepetlele	kʰ ɪ . pʼ ɪ . t͡lʼ ɪ . l ɪ
khepetleleng	kʰ ɪ . pʼ ɪ . t͡lʼ ɪ . l ɪ . ŋ
khibidu	kʰ i . b i . d u
khiriso	kʰ i . r i . s ʊ
khitšhing	kʰ i . t͡ʃʰ i . ŋ
kholera	kʰ ʊ . l ɪ . r a
kholetšhe	kʰ ʊ . l ɪ . t͡ʃʰ ɪ
kholetsheng	kʰ ʊ . l ɪ . t͡sʰ ɪ . ŋ
kholetšheng	kʰ ʊ . l ɪ . t͡ʃʰ ɪ . ŋ
kholomong	kʰ ʊ . l ʊ . m ʊ . ŋ
khomisene	kʰ ʊ . m i . s ɪ . n ɪ
khomišene	kʰ ʊ . m i . ʃ ɪ . n ɪ
khomišeneng	kʰ ʊ . m i . ʃ ɪ . n ɪ . ŋ
khoneng	kʰ ʊ . n ɪ . ŋ
khophikgolo	kʰ ʊ . pʰ i . k͡x ʊ . l ʊ
khosong	kʰ ʊ . s ʊ . ŋ
khotlatshekelo	kʰ ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ
khoutilweng	kʰ ʊ . u . tʼ i . l w ɪ . ŋ
khouto	kʰ ʊ . u . tʼ ʊ
khoutu	kʰ ʊ . u . tʼ u
khoutung	kʰ ʊ . u . tʼ u . ŋ
khubama	kʰ u . b a . m a
khubame	kʰ u . b a . m ɪ
khubedu	kʰ u . b ɪ . d u
khudugelotoropong	kʰ u . d u . x ɪ . l ʊ . tʼ ʊ . r ʊ . pʼ ʊ . ŋ
khuduso	kʰ u . d u . s ʊ
khuduthamageng	kʰ u . d u . tʰ a . m a . x ɪ . ŋ
khula	kʰ u . l a
khuma	kʰ u . m a
khumalo	kʰ u . m a . l ʊ
khumanego	kʰ u . m a . n ɪ . x ʊ
khumanegong	kʰ u . m a . n ɪ . x ʊ . ŋ
khumo	kʰ u . m ʊ
khumong	kʰ u . m ʊ . ŋ
khunologo	kʰ u . n ʊ . l ʊ . x ʊ
khunou	kʰ u . n ʊ . u
khunwana	kʰ u . n w a . n a
khupa	kʰ u . pʼ a
khupediwa	kʰ u . pʼ ɪ . d i . w a
khurumeditswe	kʰ u . r u . m ɪ . d i . t͡sʼ w ɪ
khurumeditsweng	kʰ u . r u . m ɪ . d i . t͡sʼ w ɪ . ŋ
khurumediwa	kʰ u . r u . m ɪ . d i . w a
khurumela	kʰ u . r u . m ɪ . l a
khurumetsa	kʰ u . r u . m ɪ . t͡sʼ a
khurumetse	kʰ u . r u . m ɪ . t͡sʼ ɪ
khurumetso	kʰ u . r u . m ɪ . t͡sʼ ʊ
khurumolola	kʰ u . r u . m ʊ . l ʊ . l a
khuti	kʰ u . tʼ i
khuting	kʰ u . tʼ i . ŋ
khutla	kʰ u . t͡lʼ a
khutlang	kʰ u . t͡lʼ a . ŋ
khutle	kʰ u . t͡lʼ ɪ
khutleng	kʰ u . t͡lʼ ɪ . ŋ
khutlile	kʰ u . t͡lʼ i . l ɪ
khutlileng	kʰ u . t͡lʼ i . l ɪ . ŋ
khutlisa	kʰ u . t͡lʼ i . s a
khutliseng	kʰ u . t͡lʼ i . s ɪ . ŋ
khutlisitse	kʰ u . t͡lʼ i . s i . t͡sʼ ɪ
khutlisitswe	kʰ u . t͡lʼ i . s i . t͡sʼ w ɪ
khutlisitsweng	kʰ u . t͡lʼ i . s i . t͡sʼ w ɪ . ŋ
khutlisiwa	kʰ u . t͡lʼ i . s i . w a
khutlisiwang	kʰ u . t͡lʼ i . s i . w a . ŋ
khutliso	kʰ u . t͡lʼ i . s ʊ
khutlo	kʰ u . t͡lʼ ʊ
khutlometsepa	kʰ u . t͡lʼ ʊ . m ɪ . t͡sʼ ɪ . pʼ a
khutlonne	kʰ u . t͡lʼ ʊ . n . n ɪ
khutlopono	kʰ u . t͡lʼ ʊ . pʼ ʊ . n ʊ
khutlotharo	kʰ u . t͡lʼ ʊ . tʰ a . r ʊ
khuto	kʰ u . tʼ ʊ
khutsafadiwang	kʰ u . t͡sʼ a . f a . d i . w a . ŋ
khutsafalo	kʰ u . t͡sʼ a . f a . l ʊ
khutsafatso	kʰ u . t͡sʼ a . f a . t͡sʼ ʊ
khutsana	kʰ u . t͡sʼ a . n a
khutsepe	kʰ u . t͡sʼ ɪ . pʼ ɪ
khutshwafaditsweng	kʰ u . t͡sʰ w a . f a . d i . t͡sʼ w ɪ . ŋ
khutshwafadiwang	kʰ u . t͡sʰ w a . f a . d i . w a . ŋ
khutshwafala	kʰ u . t͡sʰ w a . f a . l a
khutshwafatsa	kʰ u . t͡sʰ w a . f a . t͡sʼ a
khutshwafatso	kʰ u . t͡sʰ w a . f a . t͡sʼ ʊ
khutshwane	kʰ u . t͡sʰ w a . n ɪ
khutshwanyane	kʰ u . t͡sʰ w a . ɲ a . n ɪ
khutsisa	kʰ u . t͡sʼ i . s a
khutso	kʰ u . t͡sʼ ʊ
khutswafaditsweng	kʰ u . t͡sʼ w a . f a . d i . t͡sʼ w ɪ . ŋ
khutswafatso	kʰ u . t͡sʼ w a . f a . t͡sʼ ʊ
khutswafatswang	kʰ u . t͡sʼ w a . f a . t͡sʼ w a . ŋ
khwalifayang	kʰ w a . l i . f a . j a . ŋ
kidibalong	kʼ i . d i . b a . l ʊ . ŋ
kile	kʼ i . l ɪ
kileng	kʼ i . l ɪ . ŋ
kiletso	kʼ i . l ɪ . t͡sʼ ʊ
kiletsong	kʼ i . l ɪ . t͡sʼ ʊ . ŋ
kilo	kʼ i . l ʊ
kitla	kʼ i . t͡lʼ a
kitlane	kʼ i . t͡lʼ a . n ɪ
kitlaneng	kʼ i . t͡lʼ a . n ɪ . ŋ
kitlang	kʼ i . t͡lʼ a . ŋ
kitlano	kʼ i . t͡lʼ a . n ʊ
kitlanya	kʼ i . t͡lʼ a . ɲ a
kitsisano	kʼ i . t͡sʼ i . s a . n ʊ
kitsiso	kʼ i . t͡sʼ i . s ʊ
kitsisong	kʼ i . t͡sʼ i . s ʊ . ŋ
kitso	kʼ i . t͡sʼ ʊ
kitsokwalo	kʼ i . t͡sʼ ʊ . kʼ w a . l ʊ
kitsong	kʼ i . t͡sʼ ʊ . ŋ
koafadiwa	kʼ ʊ . a . f a . d i . w a
koafala	kʼ ʊ . a . f a . l a
koafalo	kʼ ʊ . a . f a . l ʊ
koafatsa	kʼ ʊ . a . f a . t͡sʼ a
koafatsang	kʼ ʊ . a . f a . t͡sʼ a . ŋ
koafatse	kʼ ʊ . a . f a . t͡sʼ ɪ
koafetse	kʼ ʊ . a . f ɪ . t͡sʼ ɪ
koafetseng	kʼ ʊ . a . f ɪ . t͡sʼ ɪ . ŋ
kobamelo	kʼ ʊ . b a . m ɪ . l ʊ
kobamelong	kʼ ʊ . b a . m ɪ . l ʊ . ŋ
kobego	kʼ ʊ . b ɪ . x ʊ
kobela	kʼ ʊ . b ɪ . l a
kobelo	kʼ ʊ . b ɪ . l ʊ
kobetsweng	kʼ ʊ . b ɪ . t͡sʼ w ɪ . ŋ
kobile	kʼ ʊ . b i . l ɪ
kobileng	kʼ ʊ . b i . l ɪ . ŋ
kobilwe	kʼ ʊ . b i . l w ɪ
kobilweng	kʼ ʊ . b i . l w ɪ . ŋ
kobiseditswe	kʼ ʊ . b i . s ɪ . d i . t͡sʼ w ɪ
kobisitsweng	kʼ ʊ . b i . s i . t͡sʼ w ɪ . ŋ
kobiwa	kʼ ʊ . b i . w a
kobo	kʼ ʊ . b ʊ
kobong	kʼ ʊ . b ʊ . ŋ
kokelo	kʼ ʊ . kʼ ɪ . l ʊ
kokelong	kʼ ʊ . kʼ ɪ . l ʊ . ŋ
koketsego	kʼ ʊ . kʼ ɪ . t͡sʼ ɪ . x ʊ
koketsegong	kʼ ʊ . kʼ ɪ . t͡sʼ ɪ . x ʊ . ŋ
koketso	kʼ ʊ . kʼ ɪ . t͡sʼ ʊ
koketsomatlole	kʼ ʊ . kʼ ɪ . t͡sʼ ʊ . m a . t͡lʼ ʊ . l ɪ
kokgwa	kʼ ʊ . k͡x w a
kokoana	kʼ ʊ . kʼ ʊ . a . n a
kokoane	kʼ ʊ . kʼ ʊ . a . n ɪ
kokoanngwa	kʼ ʊ . kʼ ʊ . a . n . ŋ w a
kokoanobosetšhaba	kʼ ʊ . kʼ ʊ . a . n ʊ . b ʊ . s ɪ . t͡ʃʰ a . b a
kokoano	kʼ ʊ . kʼ ʊ . a . n ʊ
kokoanong	kʼ ʊ . kʼ ʊ . a . n ʊ . ŋ
kokoanongtshedimosetso	kʼ ʊ . kʼ ʊ . a . n ʊ . ŋ . t͡sʰ ɪ . d i . m ʊ . s ɪ . t͡sʼ ʊ
kokoanopeomolaong	kʼ ʊ . kʼ ʊ . a . n ʊ . pʼ ɪ . ʊ . m ʊ . l a . ʊ . ŋ
kokoanotheomolao	kʼ ʊ . kʼ ʊ . a . n ʊ . tʰ ɪ . ʊ . m ʊ . l a . ʊ
kokoanothutiso	kʼ ʊ . kʼ ʊ . a . n ʊ . tʰ u . tʼ i . s ʊ
kokoantseng	kʼ ʊ . kʼ ʊ . a . n . t͡sʼ ɪ . ŋ
kokoantswe	kʼ ʊ . kʼ ʊ . a . n . t͡sʼ w ɪ
kokoantsweng	kʼ ʊ . kʼ ʊ . a . n . t͡sʼ w ɪ . ŋ
kokoanya	kʼ ʊ . kʼ ʊ . a . ɲ a
kokoanyang	kʼ ʊ . kʼ ʊ . a . ɲ a . ŋ
kokoanye	kʼ ʊ . kʼ ʊ . a . ɲ ɪ
kokoanyetsa	kʼ ʊ . kʼ ʊ . a . ɲ ɪ . t͡sʼ a
kokoanyetso	kʼ ʊ . kʼ ʊ . a . ɲ ɪ . t͡sʼ ʊ
kokoanyiwa	kʼ ʊ . kʼ ʊ . a . ɲ i . w a
kokoanyo	kʼ ʊ . kʼ ʊ . a . ɲ ʊ
kokoanyongtshedimosetso	kʼ ʊ . kʼ ʊ . a . ɲ ʊ . ŋ . t͡sʰ ɪ . d i . m ʊ . s ɪ . t͡sʼ ʊ
kokoanyotshedimosetso	kʼ ʊ . kʼ ʊ . a . ɲ ʊ . t͡sʰ ɪ . d i . m ʊ . s ɪ . t͡sʼ ʊ
kokobatsa	kʼ ʊ . kʼ ʊ . b a . t͡sʼ a
kokobela	kʼ ʊ . kʼ ʊ . b ɪ . l a
kokobetsa	kʼ ʊ . kʼ ʊ . b ɪ . t͡sʼ a
koko	kʼ ʊ . kʼ ʊ
kokometse	kʼ ʊ . kʼ ʊ . m ɪ . t͡sʼ ɪ
kokomoga	kʼ ʊ . kʼ ʊ . m ʊ . x a
kokomogile	kʼ ʊ . kʼ ʊ . m ʊ . x i . l ɪ
kokomogo	kʼ ʊ . kʼ ʊ . m ʊ . x ʊ
kokona	kʼ ʊ . kʼ ʊ . n a
kokoro	kʼ ʊ . kʼ ʊ . r ʊ
kokota	kʼ ʊ . kʼ ʊ . tʼ a
kokotlegelelang	kʼ ʊ . kʼ ʊ . t͡lʼ ɪ . x ɪ . l ɪ . l a . ŋ
kokotlela	kʼ ʊ . kʼ ʊ . t͡lʼ ɪ . l a
kokwanyana	kʼ ʊ . kʼ w a . ɲ a . n a
koletšhekatiso	kʼ ʊ . l ɪ . t͡ʃʰ ɪ . kʼ a . tʼ i . s ʊ
kolobediwang	kʼ ʊ . l ʊ . b ɪ . d i . w a . ŋ
kolobe	kʼ ʊ . l ʊ . b ɪ
kolobetsa	kʼ ʊ . l ʊ . b ɪ . t͡sʼ a
kolobetso	kʼ ʊ . l ʊ . b ɪ . t͡sʼ ʊ
kolobile	kʼ ʊ . l ʊ . b i . l ɪ
kolofo	kʼ ʊ . l ʊ . f ʊ
kologano	kʼ ʊ . l ʊ . x a . n ʊ
kologanya	kʼ ʊ . l ʊ . x a . ɲ a
koloi	kʼ ʊ . l ʊ . i
kolo	kʼ ʊ . l ʊ
kolopa	kʼ ʊ . l ʊ . pʼ a
kolope	kʼ ʊ . l ʊ . pʼ ɪ
kolopela	kʼ ʊ . l ʊ . pʼ ɪ . l a
kolotang	kʼ ʊ . l ʊ . tʼ a . ŋ
kolotiwang	kʼ ʊ . l ʊ . tʼ i . w a . ŋ
kolotsana	kʼ ʊ . l ʊ . t͡sʼ a . n a
kolotwang	kʼ ʊ . l ʊ . tʼ w a . ŋ
koma	kʼ ʊ . m a
komelelo	kʼ ʊ . m ɪ . l ɪ . l ʊ
komelelong	kʼ ʊ . m ɪ . l ɪ . l ʊ . ŋ
komišeneng	kʼ ʊ . m i . ʃ ɪ . n ɪ . ŋ
komiso	kʼ ʊ . m i . s ʊ
komiti	kʼ ʊ . m i . tʼ i
komiting	kʼ ʊ . m i . tʼ i . ŋ
komititsamaiso	kʼ ʊ . m i . tʼ i . t͡sʼ a . m a . i . s ʊ
kone	kʼ ʊ . n ɪ
konesetsa	kʼ ʊ . n ɪ . s ɪ . t͡sʼ a
kong	kʼ ʊ . ŋ
konokono	kʼ ʊ . n ʊ . kʼ ʊ . n ʊ
konoseditse	kʼ ʊ . n ʊ . s ɪ . d i . t͡sʼ ɪ
konoseditseng	kʼ ʊ . n ʊ . s ɪ . d i . t͡sʼ ɪ . ŋ
konoseditswe	kʼ ʊ . n ʊ . s ɪ . d i . t͡sʼ w ɪ
konoseditsweng	kʼ ʊ . n ʊ . s ɪ . d i . t͡sʼ w ɪ . ŋ
konosediwa	kʼ ʊ . n ʊ . s ɪ . d i . w a
konosediwe	kʼ ʊ . n ʊ . s ɪ . d i . w ɪ
konosetsa	kʼ ʊ . n ʊ . s ɪ . t͡sʼ a
konosetse	kʼ ʊ . n ʊ . s ɪ . t͡sʼ ɪ
konosetseng	kʼ ʊ . n ʊ . s ɪ . t͡sʼ ɪ . ŋ
konosetso	kʼ ʊ . n ʊ . s ɪ . t͡sʼ ʊ
konotelela	kʼ ʊ . n ʊ . tʼ ɪ . l ɪ . l a
konyakonya	kʼ ʊ . ɲ a . kʼ ʊ . ɲ a
kooteng	kʼ ʊ . ʊ . tʼ ɪ . ŋ
kopa	kʼ ʊ . pʼ a
kopakopana	kʼ ʊ . pʼ a . kʼ ʊ . pʼ a . n a
kopakopaneng	kʼ ʊ . pʼ a . kʼ ʊ . pʼ a . n ɪ . ŋ
kopana	kʼ ʊ . pʼ a . n a
kopanang	kʼ ʊ . pʼ a . n a . ŋ
kopane	kʼ ʊ . pʼ a . n ɪ
kopanela	kʼ ʊ . pʼ a . n ɪ . l a
kopanelo	kʼ ʊ . pʼ a . n ɪ . l ʊ
kopaneng	kʼ ʊ . pʼ a . n ɪ . ŋ
kopanetse	kʼ ʊ . pʼ a . n ɪ . t͡sʼ ɪ
kopanetsweng	kʼ ʊ . pʼ a . n ɪ . t͡sʼ w ɪ . ŋ
kopang	kʼ ʊ . pʼ a . ŋ
kopanngwa	kʼ ʊ . pʼ a . n . ŋ w a
kopano	kʼ ʊ . pʼ a . n ʊ
kopanong	kʼ ʊ . pʼ a . n ʊ . ŋ
kopanonyaneng	kʼ ʊ . pʼ a . n ʊ . ɲ a . n ɪ . ŋ
kopantse	kʼ ʊ . pʼ a . n . t͡sʼ ɪ
kopantsha	kʼ ʊ . pʼ a . n . t͡sʰ a
kopantshitswe	kʼ ʊ . pʼ a . n . t͡sʰ i . t͡sʼ w ɪ
kopantshiwa	kʼ ʊ . pʼ a . n . t͡sʰ i . w a
kopantsho	kʼ ʊ . pʼ a . n . t͡sʰ ʊ
kopantswe	kʼ ʊ . pʼ a . n . t͡sʼ w ɪ
kopantsweng	kʼ ʊ . pʼ a . n . t͡sʼ w ɪ . ŋ
kopanwa	kʼ ʊ . pʼ a . n w a
kopanya	kʼ ʊ . pʼ a . ɲ a
kopanyang	kʼ ʊ . pʼ a . ɲ a . ŋ
kopanye	kʼ ʊ . pʼ a . ɲ ɪ
kopanyeletsa	kʼ ʊ . pʼ a . ɲ ɪ . l ɪ . t͡sʼ a
kopanyeng	kʼ ʊ . pʼ a . ɲ ɪ . ŋ
kopanyo	kʼ ʊ . pʼ a . ɲ ʊ
kope	kʼ ʊ . pʼ ɪ
kopela	kʼ ʊ . pʼ ɪ . l a
kopele	kʼ ʊ . pʼ ɪ . l ɪ
kopelo	kʼ ʊ . pʼ ɪ . l ʊ
kopelwa	kʼ ʊ . pʼ ɪ . l w a
kopeng	kʼ ʊ . pʼ ɪ . ŋ
