ababalulekile	ababa{lulek}ile
ngokungafanele	ngoku{ngafanele}
ngokungafani	ngoku{ngafani}
ngokungagcwele	ngoku{ngagcwele}
ngokungahlelekile	ngoku{ngahlelekile}
ngokungakhathali	ngoku{ngakhathali}
ngokungakhethi	ngoku{ngakhethi}
ngokungakukhuthazi	ngoku{ngakukhuthazi}
ngokungalingani	ngoku{ngalingani}
ngokungalungile	ngoku{ngalungile}
ngokungangabazi	ngoku{ngangabazi}
ngokunga	ngoku{nga}
ngokungangokuthi	ngoku{ngangokuthi}
ngokungaphelele	ngoku{ngaphelele}
ngokungaphezulu	ngoku{ngaphezulu}
ngokungaphezu	ngoku{ngaphezu}
ngokungaphikisani	ngoku{ngaphikisani}
ngokungaphili	ngoku{ngaphili}
ngokungaqondile	ngoku{ngaqondile}
ngokungasebenzi	ngoku{ngasebenzi}
ngokungase	ngoku{ngase}
ngokungathandabuzi	ngoku{ngathandabuzi}
ngokungatheni	ngoku{ngatheni}
ngokungathuthukisi	ngoku{ngathuthukisi}
ngokungazelele	ngoku{ngazelele}
ngokungaziphathi	ngoku{ngaziphathi}
ngokungekho	ngoku{ngekho}
ngokungekuhle	ngoku{ngekuhle}
ngokungelona	ngoku{ngelona}
ngokungemthetho	ngoku{ngemthetho}
ngokungena	ngoku{ngena}
ngokungenangqondo	ngoku{ngenangqondo}
ngokungendlela	ngoku{ngendlela}
ngokungenelela	ngoku{ngenelela}
ngokungenele	ngoku{ngenele}
ngokungenzeleli	ngoku{ngenzeleli}
ngokungenzi	ngoku{ngenzi}
ngokungisingatha	ngoku{ngisingatha}
ngokungithathela	ngoku{ngithathela}
ngokunika	ngoku{nika}
ngokunikela	ngoku{nikela}
ngokunikelela	ngoku{nikelela}
ngokunikezana	ngoku{nikez}ana
ngokunikeza	ngoku{nikeza}
ngokunikezela	ngoku{nikezela}
ngokunikezelwa	ngoku{nikezelwa}
ngokunikezwa	ngoku{nikezwa}
ngokunikwa	ngoku{nikwa}
ngokunjalo	ngoku{njalo}
ngokunomqondo	ngoku{nomqondo}
ngokunye	ngoku{nye}
ngokuphakama	ngoku{phakama}
ngokuphambana	ngoku{phamb}ana
ngokuphambanayo	ngoku{phambanayo}
ngokuphambanisa	ngoku{phambanisa}
ngokuphana	ngoku{ph}ana
ngokuphanga	ngoku{phanga}
ngokuphatha	ngoku{phatha}
ngokuphatheka	ngoku{phatheka}
ngokuphathekayo	ngoku{phathekayo}
ngokuphathelene	ngoku{phathelene}
ngokuphathele	ngoku{phathele}
ngokuphathwa	ngoku{phathwa}
ngokuphawula	ngoku{phawula}
ngokuphefumula	ngoku{phefumula}
ngokuphela	ngoku{phela}
ngokuphelela	ngoku{phelela}
ngokuphelele	ngoku{phelele}
ngokupheleleyo	ngoku{pheleleyo}
ngokuphelelwa	ngoku{phelelwa}
ngokuphendula	ngoku{phendula}
ngokuphepha	ngoku{phepha}
ngokuphephile	ngoku{phephile}
ngokuphetha	ngoku{phetha}
ngokuphikisana	ngoku{phikis}ana
ngokuphila	ngoku{phila}
ngokuphinda	ngoku{phinda}
ngokuphindaphinda	ngoku{phindaphinda}
ngokuphindelela	ngoku{phindelela}
ngokuphinde	ngoku{phinde}
ngokuphindwe	ngoku{phindwe}
ngokuphuma	ngoku{phuma}
ngokuphumelela	ngoku{phumelela}
ngokuphumelelayo	ngoku{phumelelayo}
ngokuphumisela	ngoku{phumisela}
ngokuphuthuma	ngoku{phuthuma}
ngokuphuza	ngoku{phuza}
ngokuqala	ngoku{qala}
ngokuqapha	ngoku{qapha}
ngokuqaphela	ngoku{qaphela}
ngokuqaphelisisa	ngoku{qaphelisisa}
ngokuqeda	ngoku{qeda}
ngokuqedwa	ngoku{qedwa}
ngokuqeqesha	ngoku{qeqesha}
ngokuqeqeshekile	ngoku{qeqeshekile}
ngokuqeqeshelwa	ngoku{qeqeshelwa}
ngokuqeqeshwa	ngoku{qeqeshwa}
ngokuqhamuka	ngoku{qhamuka}
ngokuqhathanisa	ngoku{qhathanisa}
ngokuqhathaniswa	ngoku{qhathaniswa}
ngokuqhuba	ngoku{qhuba}
ngokuqhubeka	ngoku{qhubeka}
ngokuqhubekayo	ngoku{qhubekayo}
ngokuqhubekela	ngoku{qhubekela}
ngokuqhubeke	ngoku{qhubeke}
ngokuqhubekisa	ngoku{qhubekisa}
ngokuqikelela	ngoku{qikelela}
ngokuqinile	ngoku{qinile}
ngokuqinisa	ngoku{qinisa}
ngokuqiniseka	ngoku{qiniseka}
ngokuqinisekile	ngoku{qinisekile}
ngokuqoka	ngoku{qoka}
ngokuqokwa	ngoku{qokwa}
ngokuqonda	ngoku{qonda}
ngokuqondene	ngoku{qondene}
ngokuqonde	ngoku{qonde}
ngokuqondile	ngoku{qondile}
ngokuqondisa	ngoku{qondisa}
ngokuqondisisa	ngoku{qondisisa}
ngokuqondiswa	ngoku{qondiswa}
ngokuqopha	ngoku{qopha}
ngokuqoqa	ngoku{qoqa}
ngokuqukethwe	ngoku{qukethwe}
ngokusabalala	ngoku{sabalala}
ngokusabalele	ngoku{sabalele}
ngokusaba	ngoku{saba}
ngokusebangeni	ngoku{sebangeni}
ngokusebenza	ngoku{sebenza}
ngokusebenzayo	ngoku{sebenzayo}
ngokusebenzelana	ngoku{sebenzel}ana
ngokusebenzela	ngoku{sebenzela}
ngokusebenzisana	ngoku{sebenzis}ana
ngokusebenzisa	ngoku{sebenzisa}
ngokusebenziswa	ngoku{sebenziswa}
ngokuseka	ngoku{seka}
ngokusekela	ngoku{sekela}
ngokusekelwa	ngoku{sekelwa}
ngokusekelwe	ngoku{sekelwe}
ngokusemandleni	ngoku{semandleni}
ngokusemthethweni	ngoku{semthethweni}
ngokusendabeni	ngoku{sendabeni}
ngokusentshenziswa	ngoku{sentshenziswa}
ngokusetshenziswa	ngoku{setshenziswa}
ngokusezingeni	ngoku{sezingeni}
ngokusha	ngoku{sha}
ngokushaya	ngoku{shaya}
ngokushayela	ngoku{shayela}
ngokushayisana	ngoku{shayis}ana
ngokushaywa	ngoku{shaywa}
ngokushesha	ngoku{shesha}
ngokusheshayo	ngoku{sheshayo}
ngokusheshe	ngoku{sheshe}
ngokushintshana	ngoku{shintsh}ana
ngokushintsha	ngoku{shintsha}
ngokushintshanisa	ngoku{shintshanisa}
ngokushiwo	ngoku{shiwo}
ngokushiyana	ngoku{shiy}ana
ngokushona	ngoku{shona}
ngokusho	ngoku{sho}
ngokusibhalela	ngoku{sibhalela}
ngokusika	ngoku{sika}
ngokusingatha	ngoku{singatha}
ngokusizana	ngoku{siz}ana
ngokusiza	ngoku{siza}
ngokusizwa	ngoku{sizwa}
ngokusobala	ngoku{sobala}
ngokusondelana	ngoku{sondel}ana
ngokusuka	ngoku{suka}
ngokusungula	ngoku{sungula}
ngokususela	ngoku{susela}
ngokuthanda	ngoku{thanda}
ngokuthatha	ngoku{thatha}
ngokuthathela	ngoku{thathela}
ngokuthathelwa	ngoku{thathelwa}
ngokuthathwa	ngoku{thathwa}
ngokuthela	ngoku{thela}
ngokuthembeka	ngoku{thembeka}
ngokuthengisa	ngoku{thengisa}
ngokuthengiswa	ngoku{thengiswa}
ngokuthe	ngoku{the}
ngokuthile	ngoku{thile}
ngokuthi	ngoku{thi}
ngokuthini	ngoku{thini}
ngokuthintana	ngoku{thint}ana
ngokuthinta	ngoku{thinta}
ngokuthiwa	ngoku{thiwa}
ngokuthize	ngoku{thize}
ngokutholakala	ngoku{tholakala}
ngokutholakalayo	ngoku{tholakalayo}
ngokutholakele	ngoku{tholakele}
ngokuthola	ngoku{thola}
ngokutholwa	ngoku{tholwa}
ngokuthukana	ngoku{thuk}ana
ngokuthuka	ngoku{thuka}
ngokuthukuthela	ngoku{thukuthela}
ngokuthula	ngoku{thula}
ngokuthumela	ngoku{thumela}
ngokuthunga	ngoku{thunga}
ngokuthunyelwa	ngoku{thunyelwa}
ngokuthunywa	ngoku{thunywa}
ngokuthutha	ngoku{thutha}
ngokuthuthuka	ngoku{thuthuka}
ngokuthuthukisa	ngoku{thuthukisa}
ngokuthuthukiswa	ngoku{thuthukiswa}
ngokutshala	ngoku{tshala}
ngokutshalwa	ngoku{tshalwa}
ngokuvala	ngoku{vala}
ngokuvalelwa	ngoku{valelwa}
ngokuvalwa	ngoku{valwa}
ngokuvamile	ngoku{vamile}
ngokuvela	ngoku{vela}
ngokuvelele	ngoku{velele}
ngokuveza	ngoku{veza}
ngokuvezwa	ngoku{vezwa}
ngokuvikela	ngoku{vikela}
ngokuvula	ngoku{vula}
ngokuvulelekile	ngoku{vulelekile}
ngokuvulwa	ngoku{vulwa}
ngokuvuma	ngoku{vuma}
ngokuvumelana	ngoku{vumel}ana
ngokuvumela	ngoku{vumela}
ngokuwenza	ngoku{wenza}
ngokuxhumana	ngoku{xhum}ana
ngokuxhumanisa	ngoku{xhumanisa}
ngokuxolelwa	ngoku{xolelwa}
ngokuxoxa	ngoku{xoxa}
ngokuya	ngoku{ya}
ngokuyibhalela	ngoku{yibhalela}
ngokuyihlanganisa	ngoku{yihlanganisa}
ngokuyikho	ngoku{yikho}
ngokuyingxenye	ngoku{yingxenye}
ngokuyiqiniso	ngoku{yiqiniso}
ngokuyisebenzela	ngoku{yisebenzela}
ngokuzibeka	ngoku{zibeka}
ngokuzibhala	ngoku{zibhala}
ngokuzibuza	ngoku{zibuza}
ngokuzikhandla	ngoku{zikhandla}
ngokuzikhethela	ngoku{zikhethela}
ngokuzimisela	ngoku{zimisela}
ngokuzinqumela	ngoku{zinqumela}
ngokuziphatha	ngoku{ziphatha}
ngokuziphindisela	ngoku{ziphindisela}
ngokuzithandela	ngoku{zithandela}
ngokuzithathela	ngoku{zithathela}
ngokuzixoxa	ngoku{zixoxa}
ngokuzohluphekela	ngoku{zohluphekela}
ngokuzokwenzeka	ngoku{zokwenzeka}
ngokuzwana	ngoku{zw}ana
ngokuzwa	ngoku{zwa}
ngokwaba	ngokw{aba}
ngokwabaphathi	ngokw{abaphathi}
ngokwabo	ngokw{abo}
ngokwafuthi	ngokw{afuthi}
ngokwahlukana	ngokw{ahluk}ana
ngokwahluka	ngokw{ahluka}
ngokwakha	ngokw{akha}
ngokwakhayo	ngokw{akhayo}
ngokwakhela	ngokw{akhela}
ngokwakhe	ngokw{akhe}
ngokwakhiwa	ngokw{akhiwa}
ngokwakho	ngokw{akho}
ngokwalomthetho	ngokw{alomthetho}
ngokwalomthethonkambiso	ngokw{alomthethonkambiso}
ngokwalo	ngokw{alo}
ngokwalowo	ngokw{alowo}
ngokwamagama	ngokw{amagama}
ngokwamakhono	ngokw{amakhono}
ngokwamandla	ngokw{amandla}
ngokwama	ngokw{ama}
ngokwamanje	ngokw{amanje}
ngokwamaphuzu	ngokw{amaphuzu}
ngokwamaqembu	ngokw{amaqembu}
ngokwamasiko	ngokw{amasiko}
ngokwamazinga	ngokw{amazinga}
ngokwamazwe	ngokw{amazwe}
ngokwamazwi	ngokw{amazwi}
ngokwami	ngokw{ami}
ngokwandiswa	ngokw{andiswa}
ngokwanele	ngokw{anele}
ngokwasekhaya	ngokw{asekhaya}
ngokwayo	ngokw{ayo}
ngokwazi	ngokw{azi}
ngokwazisa	ngokw{azisa}
ngokwaziswa	ngokw{aziswa}
ngokwazo	ngokw{azo}
ngokwedlula	ngokw{edlula}
ngokwedlulele	ngokw{edlulele}
ngokwedlule	ngokw{edlule}
ngokwedlulisa	ngokw{edlulisa}
ngokwedlulisela	ngokw{edlulisela}
ngokwedluliselwa	ngokw{edluliselwa}
ngokwehla	ngokw{ehla}
ngokwehlukahlukana	ngokw{ehlukahluk}ana
ngokwehlukana	ngokw{ehluk}ana
ngokwehluka	ngokw{ehluka}
ngokwehlukanisa	ngokw{ehlukanisa}
ngokwehlukaniswa	ngokw{ehlukaniswa}
ngokwehluleka	ngokw{ehluleka}
ngokwehlulela	ngokw{ehlulela}
ngokwejwayelekile	ngokw{ejwayelekile}
ngokwelekelela	ngokw{elekelela}
ngokweluleka	ngokw{eluleka}
ngokwelungelo	ngokw{elungelo}
ngokwemali	ngokw{emali}
ngokwemfundo	ngokw{emfundo}
ngokwemibandela	ngokw{emibandela}
ngokwemibono	ngokw{emibono}
ngokwemigomo	ngokw{emigomo}
ngokwemingcele	ngokw{emingcele}
ngokweminyaka	ngokw{eminyaka}
ngokweminye	ngokw{eminye}
ngokwemiphumela	ngokw{emiphumela}
ngokwemiqondo	ngokw{emiqondo}
ngokwemisebenzi	ngokw{emisebenzi}
ngokwemithetho	ngokw{emithetho}
ngokwemizwa	ngokw{emizwa}
ngokwempahla	ngokw{empahla}
ngokwempela	ngokw{empela}
ngokwempilo	ngokw{empilo}
ngokwencwadi	ngokw{encwadi}
ngokwendawo	ngokw{endawo}
ngokwendlela	ngokw{endlela}
ngokwengamela	ngokw{engamela}
ngokwengeza	ngokw{engeza}
ngokwengezwa	ngokw{engezwa}
ngokwengqikithi	ngokw{engqikithi}
ngokwengqondo	ngokw{engqondo}
ngokwengxenye	ngokw{engxenye}
ngokwenhlalo	ngokw{enhlalo}
ngokwenhloso	ngokw{enhloso}
ngokweningi	ngokw{eningi}
ngokwenjongo	ngokw{enjongo}
ngokwenkambiso	ngokw{enkambiso}
ngokwenqondo	ngokw{enqondo}
ngokwenqubo	ngokw{enqubo}
ngokwentando	ngokw{entando}
ngokwentela	ngokw{entela}
ngokwentuthuko	ngokw{entuthuko}
ngokwenu	ngokw{enu}
ngokwenza	ngokw{enza}
ngokwenzani	ngokw{enzani}
ngokwenzeka	ngokw{enzeka}
ngokwenzekayo	ngokw{enzekayo}
ngokwenzekile	ngokw{enzekile}
ngokwenze	ngokw{enze}
ngokwenzenjalo	ngokw{enzenjalo}
ngokwenziwa	ngokw{enziwa}
ngokwenziwayo	ngokw{enziwayo}
ngokweqiniso	ngokw{eqiniso}
ngokwesaba	ngokw{esaba}
ngokwesakhiwo	ngokw{esakhiwo}
ngokwesethembiso	ngokw{esethembiso}
ngokwesibili	ngokw{esibili}
ngokwesibonelo	ngokw{esibonelo}
ngokwesigaba	ngokw{esigaba}
ngokwesigatshana	ngokw{esigatsh}ana
ngokwesigunyazo	ngokw{esigunyazo}
ngokwesihloko	ngokw{esihloko}
ngokwesikali	ngokw{esikali}
ngokwesikhashana	ngokw{esikhash}ana
ngokwesikhathi	ngokw{esikhathi}
ngokwesikhundla	ngokw{esikhundla}
ngokwesikhwama	ngokw{esikhwama}
ngokwesiko	ngokw{esiko}
ngokwesilungu	ngokw{esilungu}
ngokwesimiselo	ngokw{esimiselo}
ngokwesimiso	ngokw{esimiso}
ngokwesimo	ngokw{esimo}
ngokwesi	ngokw{esi}
ngokwesinqumo	ngokw{esinqumo}
ngokwesiqeshana	ngokw{esiqesh}ana
ngokwesiqondiso	ngokw{esiqondiso}
ngokwesivumelwane	ngokw{esivumelw}ane
ngokwesizulu	ngokw{esizulu}
ngokwethembana	ngokw{ethemb}ana
ngokwethembeka	ngokw{ethembeka}
ngokwethuka	ngokw{ethuka}
ngokwethula	ngokw{ethula}
ngokwethu	ngokw{ethu}
ngokwezemfundo	ngokw{ezemfundo}
ngokwezempilo	ngokw{ezempilo}
ngokwezenhlalo	ngokw{ezenhlalo}
ngokwezezimali	ngokw{ezezimali}
ngokwezidingo	ngokw{ezidingo}
ngokwezifo	ngokw{ezifo}
ngokwezifunda	ngokw{ezifunda}
ngokwezigaba	ngokw{ezigaba}
ngokwezikhathi	ngokw{ezikhathi}
ngokwezikhundla	ngokw{ezikhundla}
ngokwezilimi	ngokw{ezilimi}
ngokwezilinganiso	ngokw{ezilinganiso}
ngokwezimali	ngokw{ezimali}
ngokwezimilo	ngokw{ezimilo}
ngokwezimiselo	ngokw{ezimiselo}
ngokwezimiso	ngokw{ezimiso}
ngokwezimo	ngokw{ezimo}
ngokwezindawo	ngokw{ezindawo}
ngokwezindima	ngokw{ezindima}
ngokwezinga	ngokw{ezinga}
ngokwezinhlanga	ngokw{ezinhlanga}
ngokwezinhlelo	ngokw{ezinhlelo}
ngokwezinhlobo	ngokw{ezinhlobo}
ngokwezinhloso	ngokw{ezinhloso}
ngokwezinjongo	ngokw{ezinjongo}
ngokwezinkantolo	ngokw{ezinkantolo}
ngokwezinkoma	ngokw{ezinkoma}
ngokwezinqubo	ngokw{ezinqubo}
ngokwezinto	ngokw{ezinto}
ngokwezithuthi	ngokw{ezithuthi}
ngokwezizathu	ngokw{ezizathu}
ngokwezocansi	ngokw{ezocansi}
ngokwezokuphepha	ngokw{ezokuphepha}
ngokwezomnotho	ngokw{ezomnotho}
ngolaka	ngo{laka}
ngolimi	ngoli{mi}
ngolunye	ngolu{nye}
ngolwazi	ngolw{azi}
ngomakoti	ngoma{koti}
ngomasipala	ngoma{sipala}
ngomfundi	ngom{fundi}
ngomhlabathi	ngom{hlabathi}
ngomhlahlandlela	ngom{hlahlandlela}
ngomhlangano	ngom{hlangano}
ngomhlomunye	ngom{hlomunye}
ngomkhathi	ngom{khathi}
ngomkhonto	ngom{khonto}
ngomkhuleko	ngom{khuleko}
ngomkhulu	ngom{khulu}
ngomlando	ngom{lando}
ngomlilo	ngom{lilo}
ngomlomo	ngom{lomo}
ngomoya	ngom{oya}
ngomphakathi	ngom{phakathi}
ngomphumela	ngom{phumela}
ngomqondo	ngom{qondo}
ngomsebenzi	ngom{sebenzi}
ngomsindo	ngom{sindo}
ngomthelela	ngom{thelela}
ngomthetho	ngom{thetho}
ngomthethosisekelo	ngom{thethosisekelo}
ngomuntu	ngomu{ntu}
ngomunye	ngomu{nye}
ngo	ng{o}
ngononina	ngon{onina}
ngonyaka	ngon{yaka}
ngonyawo	ngon{yawo}
ngonyazi	ngon{yazi}
ngoqobo	ngo{qobo}
ngosebenza	ngos{ebenza}
ngosebenzayo	ngos{ebenzayo}
ngosebenzisa	ngos{ebenzisa}
ngosizo	ngosi{zo}
ngosuku	ngos{uku}
ngothando	ngo{thando}
ngothatha	ngo{thatha}
ngothi	ngo{thi}
ngothisha	ngo{thisha}
ngowokugcina	ngo{wokugcina}
ngowokuqala	ngo{wokuqala}
ngowokuthi	ngo{wokuthi}
ngozibandlela	ngozi{bandlela}
ngozi	ngoz{i}
ngqa	ng{qa}
ngqondo	ng{qondo}
ngqo	ng{qo}
ngubaba	nguba{ba}
ngubani	nguba{ni}
ngubungane	ngubu{ng}ane
ngukubamba	nguku{bamba}
ngukuba	nguku{ba}
ngukubhekana	nguku{bhek}ana
ngukubona	nguku{bona}
ngukufa	nguku{fa}
ngukufika	nguku{fika}
ngukuhlanganisa	nguku{hlanganisa}
ngukuhleka	nguku{hleka}
ngukukhuphuka	nguku{khuphuka}
ngukungena	nguku{ngena}
ngukuphatha	nguku{phatha}
ngukuphela	nguku{phela}
ngukuphi	nguku{phi}
ngukuphuma	nguku{phuma}
ngukuqhamuka	nguku{qhamuka}
ngukuqinisa	nguku{qinisa}
ngukusebenza	nguku{sebenza}
ngukusho	nguku{sho}
ngukusuka	nguku{suka}
ngukuthi	nguku{thi}
ngukuthisha	nguku{thisha}
ngukuthola	nguku{thola}
ngukuthuthukisa	nguku{thuthukisa}
ngukuthuthukiswa	nguku{thuthukiswa}
ngukuvumela	nguku{vumela}
ngukweneka	ngukw{eneka}
ngukwenza	ngukw{enza}
ngumama	nguma{ma}
ngumasipala	nguma{sipala}
ngumfana	ngum{f}ana
ngumfazi	ngum{fazi}
ngumfowethu	ngum{fowethu}
ngumfundi	ngum{fundi}
ngumfundisi	ngum{fundisi}
ngumgwamanda	ngum{gwamanda}
ngumhlangano	ngum{hlangano}
ngumhloli	ngum{hloli}
ngumlilo	ngum{lilo}
ngumnumzane	ngum{numz}ane
ngumoya	ngum{oya}
ngumphakathi	ngum{phakathi}
ngumphathi	ngum{phathi}
ngumphathisihlalo	ngum{phathisihlalo}
ngumsebenzi	ngum{sebenzi}
ngumsebenzisi	ngum{sebenzisi}
ngumthetho	ngum{thetho}
ngumthethonkambiso	ngum{thethonkambiso}
ngumthethosisekelo	ngum{thethosisekelo}
ngumuntu	ngumu{ntu}
ngumusho	ngumu{sho}
ngumuzwa	ngumu{zwa}
ngungqongqoshe	ngun{gqongqoshe}
ngu	ng{u}
ngunina	ngun{ina}
nguquko	ngu{quko}
ngusebenzi	ngus{ebenzi}
ngusihlalo	ngusi{hlalo}
nguthisha	ngu{thisha}
nguwena	ngu{wena}
nguwe	ngu{we}
nguyena	ngu{yena}
nguye	ngu{ye}
ngxenyana	ng{xeny}ana
ngxenye	ng{xeny}e
ngxi	ng{xi}
nhlobo	n{hlobo}
nina	nina
ningahlala	ninga{hlala}
ningakwazi	ningakwa{zi}
ningakwenza	ningakw{enza}
ningaphuma	ninga{phuma}
ningizimu	ningizim{u}
nini	nin{i}
ninjani	nin{jani}
nisale	nisa{l}e
nisaphila	nisa{phila}
nisebenza	nis{ebenza}
nisebenzisa	nis{ebenzisa}
nisebenzise	nis{ebenzise}
nithi	ni{thi}
niyabona	niya{bona}
niyazi	niyaz{i}
niye	niy{e}
nize	niz{e}
njalo	n{jalo}
njani	{nj}ani
nje	n{j}e
njena	n{jena}
njengababheki	njengaba{bheki}
njengabafazi	njengaba{fazi}
njengabafundi	njengaba{fundi}
njengabafundisi	njengaba{fundisi}
njengabahlali	njengaba{hlali}
njengabalingani	njengaba{lingani}
njengabamele	njengaba{mele}
njengabangaphansi	njengaba{ngaphansi}
njengabanikazi	njengaba{ni}kazi
njengabanini	njengaba{nini}
njengabantu	njengaba{ntu}
njengabanye	njengaba{nye}
njengabaphathi	njengaba{phathi}
njengabasebenza	njengaba{sebenza}
njengabasebenzi	njengaba{sebenzi}
njengabase	njengaba{se}
njengabazali	njengaba{zali}
njengabo	njengabo
njenga	njeng{a}
njengakudala	njengaku{dala}
njengakuqala	njengaku{qala}
njengakwezinye	njengakw{ezinye}
njengalapha	njengala{pha}
njengalapho	njengala{pho}
njengale	njenga{le}
njengalelo	njengalel{o}
njengalena	njengalen{a}
njengaleso	njengales{o}
njengaleyo	njengale{yo}
njengalezo	njengalez{o}
njengalo	njengalo
njengalokho	njengalokh{o}
njengalokhu	njengalokh{u}
njengalowo	njengalo{wo}
njengamabhodlela	njengama{bhodlela}
njengamagama	njengama{gama}
njengama	njengam{a}
njengamakhethini	njengama{khethini}
njengamakhosikazi	njengama{khosi}kazi
njengamalunga	njengama{lunga}
njengamalungu	njengama{lungu}
njengamandla	njengama{ndla}
njengamanje	njengama{nje}
njengamanye	njengama{nye}
njengamanzi	njengama{nzi}
njengamaphini	njengama{phini}
njengamaqembu	njengama{qembu}
njengamaqiniso	njengama{qiniso}
njengamatshe	njengama{tshe}
njengamazinga	njengama{zinga}
njengamazwe	njengama{zwe}
njengamazwi	njengama{zwi}
njengami	njengami
njengani	njengani
njenganjeyaya	njengan{jeyaya}
njenganoma	njengan{oma}
njengaseduze	njengas{eduze}
njengasemihleni	njengas{emihleni}
njengasencwadini	njengas{encwadini}
njengasenzansi	njengas{enzansi}
njengasetshenziswa	njengas{etshenziswa}
njengasetshenziswe	njengas{etshenziswe}
njengasona	njengas{ona}
njengathi	njenga{thi}
njengayo	njengayo
njengegama	njenge{gama}
njengekhansela	njengek{hansela}
njengekhaya	njengek{haya}
njengekho	njengek{ho}
njengekhono	njengek{hono}
njengemibhalo	njengemi{bhalo}
njengemihlahlandlela	njengemi{hlahlandlela}
njengemihla	njengemi{hla}
njengemihlangano	njengemi{hlangano}
njengeminikelo	njengemi{nikelo}
njengeminye	njengemi{nye}
njengemiphakathi	njengemi{phakathi}
njengemiphumela	njengemi{phumela}
njengemisebenzi	njengemi{sebenzi}
njengemishini	njengemi{shini}
njengemithetho	njengemi{thetho}
njengemithi	njengemi{thi}
njengempahla	njengem{pahla}
njengempendulo	njengem{pendulo}
njengempumelelo	njengem{pumelelo}
njengemvelo	njengem{velo}
njengemvume	njengem{vume}
njengenani	njengen{ani}
njengencwadi	njengen{cwadi}
njengendawo	njengen{dawo}
njengendlela	njengen{dlela}
njengendoda	njengen{doda}
njengengane	njengen{g}ane
njengengxenye	njengen{gxenye}
njengenhlanganisela	njengen{hlanganisela}
njengenhlangano	njengen{hlangano}
njengenhloko	njengen{hloko}
njengenjwayelo	njengen{jwayelo}
njengenkampani	njengen{kampani}
njengenkinga	njengen{kinga}
njengenkomba	njengen{komba}
njengenkosi	njengen{kosi}
njengenkosikazi	njengen{kosi}kazi
njengenkulumo	njengen{kulumo}
njengenqola	njengen{qola}
njengenqubo	njengen{qubo}
njengensiza	njengen{siza}
njengentela	njengen{tela}
njengento	njengen{to}
njengentsha	njengen{tsha}
njengenxenye	njengen{xenye}
njengenyanga	njengen{yanga}
njengenye	njengen{ye}
njengenziwe	njengen{ziwe}
njengesakhiwo	njenges{akhiwo}
njengesemthethweni	njenges{emthethweni}
njengesibambiso	njengesi{bambiso}
njengesibhedlela	njengesi{bhedlela}
njengesibonelo	njengesi{bonelo}
njengesiboniso	njengesi{boniso}
njengesidingo	njengesi{dingo}
njengesifo	njengesi{fo}
njengesifunda	njengesi{funda}
njengesifundo	njengesi{fundo}
njengesigaba	njengesi{gaba}
njengesigungu	njengesi{gungu}
njengesihloko	njengesi{hloko}
njengesikhali	njengesi{khali}
njengesikhathi	njengesi{khathi}
njengesikhulu	njengesi{khulu}
njengesikhundla	njengesi{khundla}
njengesiko	njengesi{ko}
njengesikole	njengesi{kole}
njengesingekho	njengesi{ngekho}
njengesinqumo	njengesi{nqumo}
njengesinye	njengesi{nye}
njengesiphathimandla	njengesi{phathimandla}
njengesiphelele	njengesi{phelele}
njengesiqiniseko	njengesi{qiniseko}
njengesisebenzi	njengesi{sebenzi}
njengesisemthethweni	njengesi{semthethweni}
njengesisetshenziswa	njengesi{setshenziswa}
njengesithuthi	njengesi{thuthi}
njengesizathu	njengesi{zathu}
njengesizinda	njengesi{zinda}
njengesizwe	njengesi{zwe}
njengeyenziwe	njenge{yenziwe}
njengezakhiwo	njengez{akhiwo}
njengezempilo	njengez{empilo}
njengezenza	njengez{enza}
njengezibambiso	njengezi{bambiso}
njengezibonelo	njengezi{bonelo}
njengezidingo	njengezi{dingo}
njengezifo	njengezi{fo}
njengezifundo	njengezi{fundo}
njengezigaba	njengezi{gaba}
njengezikhali	njengezi{khali}
njengezikole	njengezi{kole}
njengezikwazi	njengezi{kwazi}
njengezilimi	njengezi{limi}
njengezimali	njengezim{ali}
njengezimboni	njengezim{boni}
njengezindaba	njengezin{daba}
njengezindawo	njengezin{dawo}
njengezindleko	njengezin{dleko}
njengezindlu	njengezin{dlu}
njengezindlwana	njengezin{dlw}ana
njengezinga	njengezin{ga}
njengezingane	njengezin{g}ane
njengezingenamsebenzi	njengezin{genamsebenzi}
njengezingxenye	njengezin{gxenye}
njengezinhlaka	njengezin{hlaka}
njengezinhlangano	njengezin{hlangano}
njengezinhlelo	njengezin{hlelo}
njengezinkomba	njengezin{komba}
njengezinkomo	njengezin{komo}
njengezintambo	njengezin{tambo}
njengezinto	njengezin{to}
njengezinyamazane	njengezin{yamaz}ane
njengezinye	njengezin{ye}
njengeziphathimandla	njengezi{phathimandla}
njengezisebenzi	njengezi{sebenzi}
njengezisebenzisa	njengezi{sebenzisa}
njengezisemqoka	njengezi{semqoka}
njengezisemthethweni	njengezi{semthethweni}
njengezisuka	njengezi{suka}
njengezizwe	njengezi{zwe}
njengezokuxhumana	njengez{okuxhum}ana
njengezwe	njengez{we}
njengobaba	njengoba{ba}
njengoba	njengo{ba}
njengobuhlungu	njengobu{hlungu}
njengobuntu	njengobu{ntu}
njengobuthakathi	njengobu{thakathi}
njengodinga	njengo{dinga}
njengodokotela	njengo{dokotela}
njengohlanga	njengo{hlanga}
njengohlelo	njengo{hlelo}
njengohlobo	njengo{hlobo}
njengohluleka	njengo{hluleka}
njengohulumeni	njengo{hulumeni}
