a	A:
kindjies	k @ i N k i s
kind	k @ n t
kinetiese	k @ n i@ t i s @
kinetika	k @ n i@ t i k a
kinkel	k @ N k @ l
kiosk	k i O s k
kis	k @ s
kissie	k @ s i
kiste	k @ s t @
kitaar	k i t A: r
kitaarspeler	k i t A: r s p i@ l @ r
kitsbanke	k @ t s b a N k @
kitsbank	k @ t s b a N k
kitskos	k @ t s k O s
kitskrieket	k @ t s k r i k @ t
kits	k @ t s
kitsreeks	k @ t s r i@ k s
kiwi	k i v i
klaaglied	k l A: x l i t
klaagster	k l A: x s t @ r
klaarblyklike	k l A: r b l @i k l @ k @
klaarblyklik	k l A: r b l @i k l @ k
klaargemaak	k l A: r x @ m A: k
klaargespeel	k l A: r x @ s p i@ l
klaar	k l A: r
klaarkom	k l A: r k O m
klaarmaak	k l A: r m A: k
klaarspeel	k l A: r s p i@ l
klade	k l A: d @
klad	k l a t
klaer	k l A: @ r
klaers	k l A: @ r s
klag	k l a x
klagstaat	k l a x s t A: t
klagtedirektoraat	k l a x t @ d i r E k t u r A: t
klagte	k l a x t @
klagtes	k l a x t @ s
klak	k l a k
kla	k l A:
klam	k l a m
klankbaan	k l a N k b A: n
klankband	k l a N k b a n t
klankbord	k l a N k b O r t
klanke	k l a N k @
klank	k l a N k
klankstelsel	k l a N k s t { l s @ l
klante	k l a n t @
klant	k l a n t
klap	k l a p
klapmusse	k l a p m 9 s @
klappe	k l a p @
klapperkop	k l a p @ r k O p
klappers	k l a p @ r s
klarinet	k l a r i n E t
klarinetspeler	k l a r i n E t s p i@ l @ r
klasaantekeninge	k l a s A: n t i@ k @ n @ N @
klasbyeenkoms	k l a s b @i i@ n k O m s
klasgee	k l a s x i@
klasgeld	k l a s x { l t
klasgeleenthede	k l a s x @ l i@ n t h\ i@ d @
klasgesprek	k l a s x @ s p r { k
klasgroep	k l a s x r u p
klaskamer	k l a s k A: m @ r
klaskamerpraktyk	k l a s k A: m @ r p r a k t @i k
klaskamers	k l a s k A: m @ r s
klas	k l a s
klaslose	k l a s l u@ s @
klasmaat	k l a s m A: t
klasnotas	k l a s n u@ t a s
klasperiodes	k l a s p i r i u@ d @
klasse	k l a s @
klassieke	k l a s i k @
klassifikasiestelsel	k l a s i f i k A: s i s t { l s @ l
klassifiseer	k l a s i f i s i@ r
klassis	k l a s @ s
klassituasie	k l a s @ t u A: s i
klastye	k l a s t @i @
klasverteenwoordiger	k l a s f @ r t i@ n v u@ r d @ x @ r
klasvoorbereiding	k l a s f u@ r b @ r @i d @ N
klavesimbel	k l a v @ s @ m b @ l
klaviere	k l a f i r @
klavier	k l a f i r
klavierkonsert	k l a f i r k O n s { r t
klaviermetodiek	k l a f i r m E t u d i k
klavierspeler	k l a f i r s p i@ l @ r
klawerbord	k l A: v @ r b O r t
klawer	k l A: v @ r
klawers	k l A: v @ r s
kledingstuk	k l i@ d @ N s t 9 k
kleedkamer	k l i@ t k A: m @ r
kleed	k l i@ t
kleedrepetisie	k l i@ t r E p @ t i s i
kleef	k l i@ f
kleefmyn	k l i@ f m @i n
klee	k l i@
klei	k l @i
kleim	k l @i m
kleinboere	k l @i n b u r @
kleinboet	k l @i n b u t
kleinding	k l @i n d @ N
kleindogter	k l @i n d O x t @ r
kleine	k l @i n @
kleinerige	k l @i n @ r @ x @
kleiner	k l @i n @ r
kleingeld	k l @i n x { l t
kleingoed	k l @i n x u t
kleingroep	k l @i n x r u p
kleinhandelaar	k l @i n h\ a n d @ l A: r
kleinhandelaars	k l @i n h\ a n d @ l A: r s
kleinhandel	k l @i n h\ a n d @ l
kleinhandelprys	k l @i n h\ a n d @ l p r @i s
kleinhandelverkope	k l @i n h\ a n d @ l f @ r k u@ p @
kleinhoewe	k l @i n h\ u v @
kleinhoewes	k l @i n h\ u v @ s
kleinkinders	k l @i n k @ n d @ r s
kleinkind	k l @i n k @ n t
klein	k l @i n
kleinman	k l @i n m a n
kleinood	k l @i n u@ t
kleinsake	k l @i n s A: k @
kleinsakeondernemings	k l @i n s A: k @ O n d @ r n i@ m @ N s
kleinseun	k l @i n s 2: n
kleinskaalse	k l @i n s k A: l s @
kleins	k l @i n s
kleinste	k l @i n s t @
kleintjie	k l @i N k i
kleintjies	k l @i N k i s
kleintyd	k l @i n t @i t
klem	k l E m
klemlegging	k l E m l { x @ N
klep	k l E p
kleppe	k l E p @
klerasie	k l i@ r A: s i
klerebedryf	k l i@ r @ b @ d r @i f
kleredrag	k l i@ r @ d r a x
klerekas	k l i@ r @ k a s
klere	k l i@ r @
klerewinkel	k l i@ r @ v @ N k @ l
klerewinkels	k l i@ r @ v @ N k @ l s
klerk	k l { r k
klerksdorp	k l { r k s d O r p
klets	k l E t s
kleure	k l 2: r @
kleurfoto	k l 2: r f u@ t u
kleur	k l 2: r
kleurlinge	k l 2: r l @ N @
kleurloos	k l 2: r l u@ s
kleurryke	k l 2: r @i k @
kleurskema	k l 2: r s k i@ m a
kleurstof	k l 2: r s t O f
kleurvolle	k l 2: r f O l @
kleuter	k l 2: t @ r
kleuters	k l 2: t @ r s
kleuterskole	k l 2: t @ r s k u@ l @
kleuterskool	k l 2: t @ r s k u@ l
kliek	k l i k
kliënte	k l i E n t @
kliere	k l i r @
klik	k l @ k
klimaat	k l i m A: t
klimaatstoestande	k l i m A: t s t u s t a n d @
klimaatstreke	k l i m A: t s t r i@ k @
klimaatsverandering	k l i m A: t s f @ r a n d @ r @ N
klimaks	k l i m a k s
klimatologie	k l i m a t u l u x i
klim	k l @ m
klimmers	k l @ m @ r s
klinieke	k l @ n i k @
kliniek	k l @ n i k
kliniese	k l i n i s @
klinies	k l i n i s
klinkende	k l @ N k @ n d @
klinkklare	k l @ N k l A: r @
klink	k l @ N k
klipgooiery	k l @ p x u@ i @ r @i
klipharde	k l @ p h\ a r d @
kliphard	k l @ p h\ a r t
kliphuis	k l @ p h\ 9y s
klip	k l @ p
klippe	k l @ p @
klippie	k l @ p i
klippies	k l @ p i s
klits	k l @ t s
klofies	k l u@ f i s
klokkie	k l O k i
klok	k l O k
klompie	k l O m p i
klomp	k l O m p
klone	k l u@ n @
kloning	k l u@ n @ N
klonte	k l O n t @
kloof	k l u@ f
klooster	k l u@ s t @ r
kloosters	k l u@ s t @ r s
klopdisselboom	k l O p d @ s @ l b u@ m
klopjag	k l O p j a x
klop	k l O p
klopper	k l O p @ r
kloppers	k l O p @ r s
klopse	k l O p s @
kloue	k l @u @
klou	k l @u
klousule	k l @u s y l @
klousules	k l @u s y l @ s
klouter	k l @u t @ r
klowe	k l u@ v @
klubhuis	k l 9 b h\ 9y s
klub	k l 9 b
klubrugby	k l 9 b r a g b i
klubs	k l 9 b s
klubvlak	k l 9 b f l a k
klubwedstryd	k l 9 b v E t s t r @i t
klug	k l 9 x
kluise	k l 9y s @
kluis	k l 9y s
knaagdiere	k n A: x d i r @
knaag	k n A: x
knaend	k n A: n t
knak	k n a k
knal	k n a l
knapie	k n A: p i
knap	k n a p
knapsak	k n a p s a k
kneg	k n { x
knel	k n { l
knelpunte	k n { l p 9 n t @
knelpunt	k n { l p 9 n t
kneukels	k n 2: k @ l s
kniebesering	k n i b @ s i@ r @ N
kniediep	k n i d i p
knieë	k n i @
kniegewrig	k n i x @ v r @ x
kniehalter	k n i h\ a l t @ r
knie	k n i
kniel	k n i l
knik	k n @ k
knip	k n @ p
knipmes	k n @ p m E s
knoffelhuisie	k n O f @ l h\ 9y s i
knoffelhuisies	k n O f @ l h\ 9y s i s
knoffel	k n O f @ l
knolle	k n O l @
knoop	k n u@ p
knope	k n u@ p @
knopkieries	k n O p k i r i s
knop	k n O p
knoppe	k n O p @
knoppie	k n O p i
knormoer	k n O r m u r
knou	k n @u
knuppel	k n 9 p @ l
knus	k n 9 s
knypie	k n @i p i
knyp	k n @i p
koalisie	k u a l i s i
koalisieregering	k u a l i s i r @ x i@ r @ N
kobe	k u@ b @
kobraägtig	k u@ b r a a x t @ x
kodeks	k u@ d E k s
kode	k u@ d @
kodenaam	k u@ d @ n A: m
kodering	k u d i@ r @ N
kodes	k u@ d @ s
koedoe	k u d u
koedoes	k u d u s
koeël	k u @ l
koëffisiënt	k u@ f i S i E n t
koeie	k u i @
koei	k u i
koeke	k u k @
koekie	k u k i
koekies	k u k i s
koek	k u k
koekmeelblom	k u k m i@ l b l O m
koeksisters	k u k s @ s t @ r s
koeksoda	k u k s u@ d a
koelbloedige	k u l b l u d @ x @
koelbloedig	k u l b l u d @ x
koeldranke	k u l d r a N k @
koeldrank	k u l d r a N k
koelkas	k u l k a s
koelkop	k u l k O p
koel	k u l
koen	k u n
koepel	k u p @ l
koeplet	k u p l E t
koerantberigte	k u r a n t b @ r @ x t @
koerante	k u r a n t @
koerant	k u r a n t
koerantman	k u r a n t m a n
koerantpapier	k u r a n t p a p i r
koerdiese	k u r d i s @
koerier	k u r i r
koer	k u r
koerse	k u r s @
koers	k u r s
koersverhoging	k u r s f @ r h\ u@ x @ N
koersverlaging	k u r s f @ r l A: x @ N
koester	k u s t @ r
koevert	k u f { r t
koevoet	k u f u t
koeweitse	k u v @i t s @
koffer	k O f @ r
koffie	k O f i
koffiekroeg	k O f i k r u x
koffietafel	k O f i t A: f @ l
koffiewinkel	k O f i v @ N k @ l
kognitief	k O x n @ t i f
koherensie	k u@ h\ i r E n s i
koherente	k u@ h\ i r E n t @
kohesie	k u h\ i@ s i
kokaïen	k u k a i n
koka	k u@ k a
koker	k u@ k @ r
kokke	k O k @
kok	k O k
kokon	k u k O n
kole	k u@ l @
kolfbeurte	k O l f b 2: r t @
kolfbeurt	k O l f b 2: r t
kolfblaaie	k O l f b l A: i @
kolfblad	k O l f b l a t
kolfkampie	k O l f k a m p i
kolf	k O l f
kolflys	k O l f l @i s
kolforde	k O l f O r d @
kolfwerk	k O l f v { r k
kol	k O l
kollega	k u l i@ x a
kollegas	k u l i@ x a s
kollege	k O l i d Z
kolleges	k O l i d Z @ s
kolle	k O l @
kollektief	k O l E k t i f
kollektiewe	k O l E k t i v @
kolletjies	k O l i k i s
kollig	k O l @ x
kolomme	k u l O m @
kolonel	k O l u n { l
koloniale	k u l u@ n i A: l @
kolonialisme	k u l u n i a l @ s m @
kolonie	k u l u@ n i
kolonies	k u l u@ n i s
kolonisering	k u l u@ n i s i@ r @ N
koloniste	k u@ l u n @ s t @
kolon	k u@ l O n
kolonnade	k O l u n A: d @
kolonne	k u l O n @
kolpak	k O l p a k
kolwe	k O l v @
kolwer	k O l v @ r
kolwers	k O l v @ r s
komaan	k O m A: n
koma	k u@ m a
komberse	k O m b { r s @
kombers	k O m b { r s
kombi	k O m b i
kombinasie	k O m b i n A: s i
kombinasies	k O m b i n A: s i s
kombineer	k O m b i n i@ r
kombuisdeur	k O m b 9y s d 2: r
kombuise	k O m b 9y s @
kombuiskaste	k O m b 9y s k a s t @
kombuis	k O m b 9y s
kombuisvenster	k O m b 9y s f E n s t @ r
komediante	k u m i@ d i a n t @
komediant	k u m i@ d i a n t
komedie	k u m i@ d i
komeet	k u m i@ t
komende	k u@ m @ n d @
komete	k u m i@ t @
komiese	k u@ m i s @
komies	k u@ m i s
komitee	k O m i t i@
komiteelede	k O m i t i@ l i@ d @
komiteelid	k O m i t i@ l @ t
komitees	k O m i t i@ s
kom	k O m
komkommer	k O m k O m @ r
komma	k O m a
kommandant	k O m a n d a n t
kommandement	k O m a n d @ m E n t
kommando	k u m a n d u
kommandolede	k u m a n d u l i@ d @
komme	k O m @
kommentaar	k O m @ n t A: r
kommentare	k O m @ n t A: r @
kommentator	k O m @ n t A: t O r
kommentators	k O m @ n t A: t O r s
kommer	k O m @ r
kommersieel	k O m { r s i i@ l
kommersiële	k O m { r s i i@ l @
kommerwekkende	k O m @ r v E k @ n d @
kommerwekkend	k O m @ r v E k @ n t
kommetjie	k O m i k i
kommissaris	k O m @ s A: r @ s
kommissarisse	k O m @ s A: r @ s @
kommissie	k u m i s i
kommissielede	k u m i s i l i@ d @
kommissies	k u m i s i s
kommoditeite	k O m O d i t @i t @
kommoditeit	k O m O d i t @i t
kommoditeitspryse	k O m O d i t @i t s p r @i s @
kommune	k u m y n @
kommunikasiekanale	k O m y n i k A: s i k a n A: l @
kommunikasie	k O m y n i k A: s i
kommunikasiekunde	k O m y n i k A: s i k 9 n d @
kommunikasiemedium	k O m y n i k A: s i m i d i 9 m
kommunikasiemodules	k O m y n i k A: s i m u d y l @ s
kommunikasiepraktisyn	k O m y n i k A: s i p r a k t i s @i n
kommunikasieproses	k O m y n i k A: s i p r u s E s
kommunikasiestelsels	k O m y n i k A: s i s t { l s @ l s
kommunikasiestrategie	k O m y n i k A: s i s t r a t @ x i
kommunikasietegnologieë	k O m y n i k A: s i t { x n u l u x i @
kommunikasievaardighede	k O m y n i k A: s i f A: r d @ x h\ i@ d @
kommunikasievakke	k O m y n i k A: s i f a k @
kommunikatiewe	k O m y n i k a t i v @
kommunikeer	k O m y n i k i@ r
kommunikering	k O m y n i k i@ r @ N
kommunis	k O m y n @ s
kommunisme	k O m y n @ s m @
kommuniste	k O m y n @ s t @
kommunistiese	k O m y n @ s t i s @
kompak	k O m p a k
kompakte	k O m p a k t @
kompanjie	k O m p a n j i
kompartement	k O m p a r t @ m E n t
kompeteer	k O m p @ t i@ r
kompetensies	k O m p @ t E n s i s
kompeterende	k O m p @ t i@ r @ n d @
kompeterend	k O m p @ t i@ r @ n t
kompetisie	k O m p @ t i s i
kompetisies	k O m p @ t i s i s
kompleet	k O m p l i@ t
komplekse	k O m p l E k s @
kompleks	k O m p l E k s
komplementeer	k O m p l i m E n t i@ r
komplemente	k O m p l i m E n t @
komplementêre	k O m p l @ m E n t { r @
komplementêr	k O m p l @ m E n t { r
kompleteer	k O m p l @ t i@ r
komplikasies	k O m p l i k A: s i s
komplimenteer	k O m p l i m E n t i@ r
komplimente	k O m p l i m E n t @
komplimentêr	k O m p l i m E n t { r
kompliment	k O m p l i m E n t
komplot	k O m p l O t
komponeer	k O m p u n i@ r
komponente	k O m p u n E n t @
komponent	k O m p u n E n t
komponis	k O m p u n @ s
komponiste	k O m p u n @ s t @
komposisie	k O m p u z i s i
komposisies	k O m p u z i s i s
komposisionele	k O m p u z i S i u n i@ l @
kompos	k O m p O s
kompressor	k O m p r E s O r
kompromieë	k O m p r u m i @
kompromie	k O m p r u m i
kompromis	k O m p r u m @ s
kompromisse	k O m p r u m @ s @
koms	k O m s
komste	k O m s t @
kondensasie	k O n d E n s A: s i
kondig	k O n d @ x
kondisie	k O n d i s i
kondisionering	k O n d i S i u n i@ r @ N
kondome	k O n d u@ m @
konfederasie	k O n f E d @ r A: s i
konferensie	k O n f @ r E n s i
konferensiesentrum	k O n f @ r E n s i s E n t r 9 m
konferensies	k O n f @ r E n s i s
konfigurasie	k O n f i x y r A: s i
konflikhantering	k O n f l @ k h\ a n t i@ r @ N
konflik	k O n f l @ k
konflikte	k O n f l @ k t @
konflikteorie	k O n f l @ k t i u r i
konfrontasie	k O n f r O n t A: s i
konfronteer	k O n f r O n t i@ r
konfyt	k O n f @i t
kongenitale	k O n x i@ n i t A: l @
konglomeraat	k O n x l O m @ r A: t
konglomerate	k O n x l O m @ r A: t @
kongres	k O n x r E s
kongresse	k O n x r E s @
kongruensie	k O n x r y E n s i
koningin	k u@ n @ N @ n
koning	k u@ n @ N
koningsgesin	k u@ n @ N s x @ s @ n
koningshuis	k u@ n @ N s h\ 9y s
koningskap	k u@ n @ N s k a p
konings	k u@ n @ N s
koninklike	k u@ n @ N k l @ k @
koninklikes	k u@ n @ N k l @ k @ s
koninkryke	k u@ n @ N k r @i k @
koninkryk	k u@ n @ N k r @i k
konkas	k O N k a s
konklusie	k O n k l y s i
kon	k O n
konkreet	k O n k r i@ t
konkrete	k O N k r i@ t @
konkurrente	k O n k y r E n t @
konneksies	k u n E k s i s
konnotasie	k O n u t A: s i
konsekutief	k O n s E k y t i f
konsekwente	k O n s @ k w E n t @
konsekwentheid	k O n s @ k w E n t h\ @i t
konsekwent	k O n s @ k w E n t
konsensus	k O n s E n s 9 s
konsentrasiekampe	k O n s @ n t r A: s i k a m p @
konsentrasiekamp	k O n s E n t r A: s i k a m p
konsentrasie	k O n s E n t r A: s i
konsentrasies	k O n s E n t r A: s i s
konsentreer	k O n s E n t r i@ r
konsentriese	k O n s E n t r i s @
konsepbeleid	k O n s E p b @ l @i t
konsepgrondwet	k O n s E p x r O n t v E t
konsep	k O n s E p
konsepsie	k O n s E p s i
konsepsionele	k O n s E p S i u n i@ l @
konsepte	k O n s E p t @
konseptueel	k O n s E p S y i@ l
konseptuele	k O n s E p t S y i@ l @
konsepwetgewing	k O n s E p v E t x i@ v @ N
konsepwet	k O n s E p v E t
konserte	k O n s { r t @
konsertgangers	k O n s { r t x a N @ r s
konsertina	k O n s @ r t i n a
konsert	k O n s { r t
konsertprogram	k O n s { r t p r u x r a m
konsertreeks	k O n s { r t r i@ k s
konsertreis	k O n s { r t r @i s
konsertsaal	k O n s { r t s A: l
konsertsale	k O n s { r t s A: l @
konserttoer	k O n s { r t u r
konserwatief	k O n s { r v a t i f
konserwatiewe	k O n s { r v a t i v @
konserwatisme	k O n s { r v a t @ s m @
konsessiehouer	k O n s E s i h\ @u @ r
konsessiehouers	k O n s E s i h\ @u @ r s
konsessie	k O n s E s i
konsessies	k O n s E s i s
konsolidasie	k O n s O l i d A: s i
konsolideer	k O n s O l i d i@ r
konsolidering	k O n s O l i d i@ r @ N
konsonante	k O n s u n a n t @
konsortium	k O n s O r t i 9 m
konstabel	k O n s t A: b @ l
konstabels	k O n s t A: b @ l s
konstante	k O n s t a n t @
konstantes	k O n s t a n t @ s
konstant	k O n s t a n t
konstateer	k O n s t a t i@ r
konstitusionele	k O n s t @ t y S i u n i@ l @
konstruk	k O n s t r 9 k
konstruksie	k O n s t r 9 k s i
konstruksiemaatskappy	k O n s t r 9 k s i m A: t s k a p @i
konstruksies	k O n s t r 9 k s i s
konstrukte	k O n s t r 9 k t @
konstruktief	k O n s t r 9 k t i f
konstruktiewe	k O n s t r 9 k t i v @
konstruktivistiese	k O n s t r 9 k t i v @ s t i s @
konstruktiwisme	k O n s t r 9 k t i v @ s m @
konsulaat	k O n s 9 l A: t
konsul	k O n s 9 l
konsultante	k O n s 9 l t a n t @
konsultant	k O n s 9 l t a n t
konsultasie	k O n s 9 l t A: s i
konsultasies	k O n s 9 l t A: s i s
konsulteer	k O n s 9 l t i@ r
kontakbesonderhede	k O n t a k b @ s O n d @ r h\ i@ d @
kontak	k O n t a k
kontakleerders	k O n t a k l i@ r d @ r s
kontaknommer	k O n t a k n O m @ r
kontaknommers	k O n t a k n O m @ r s
kontakperiode	k O n t a k p i r i u@ d @
kontakpersone	k O n t a k p @ r s u@ n @
kontakpersoon	k O n t a k p @ r s u@ n
kontaksessie	k O n t a k s E s i
kontakte	k O n t a k t @
kontaktye	k O n t a k t @i @
kontaminasie	k O n t a m i n A: s i
kontantbedrag	k O n t a n t b @ d r a x
kontantdividend	k O n t a n t d @ v @ d E n t
kontant	k O n t a n t
kontantposisie	k O n t a n t p u z i s i
kontantpryse	k O n t a n t p r @i s @
kontantprys	k O n t a n t p r @i s
kontantreserwes	k O n t a n t r @ z { r v @ s
kontantverkope	k O n t a n t f @ r k u@ p @
kontantvloei	k O n t a n t f l u i
kontantvloeiprobleme	k O n t a n t f l u i p r u b l i@ m @
konteks	k O n t E k s
konteksskepping	k O n t E k s k E p @ N
kontekstualiseer	k O n t E k s t S u a l i s i@ r
kontekstualisering	k O n t E k s t S u a l i s i@ r @ N
kontekstuele	k O n t E k s t y i@ l @
kontinentale	k O n t i n E n t A: l @
kontinente	k O n t i n E n t @
kontinent	k O n t i n E n t
kontingent	k O n t @ n x E n t
kontinuïteit	k O n t i n y t @i t
kontinu	k O n t @ n y
kontoere	k O n t u r @
kontrak	k O n t r a k
kontra	k O n t r a
kontraksies	k O n t r a k s i s
kontrakte	k O n t r a k t @
kontraktereg	k O n t r a k t @ r { x
kontrakterende	k O n t r a k t i@ r @ n d @
kontrakteur	k O n t r a k t 2: r
kontrakteurs	k O n t r a k t 2: r s
kontraktueel	k O n t r a k t S y i@ l
kontraktuele	k O n t r a k t y i@ l @
kontrakwerkers	k O n t r a k v { r k @ r s
kontrakwerk	k O n t r a k v { r k
kontrapunt	k O n t r a p 9 n t
kontras	k O n t r a s
kontrasteer	k O n t r a s t i@ r
kontrasterende	k O n t r a s t i@ r @ n d @
kontrolegroep	k O n t r u@ l @ x r u p
kontrole	k O n t r u@ l @
kontrolelys	k O n t r u@ l @ l @i s
kontrolering	k O n t r u l i@ r @ N
kontroles	k O n t r u@ l @ s
konvensie	k O n f E n s i
konvensies	k O n f E n s i s
konvensioneel	k O n f E n S i u n i@ l
konvensionele	k O n f E n S i u n i@ l @
konvergensie	k O n f @ r x E n s i
konvooi	k O n f u@ i
konvulsies	k O n v 9 l s i s
kooi	k u@ i
kookboek	k u@ k b u k
kook	k u@ k
kookolie	k u@ k u@ l i
kookpot	k u@ k p O t
kookpunte	k u@ k p 9 n t @
kookpunt	k u@ k p 9 n t
kookwater	k u@ k v A: t @ r
koolhidrate	k u@ l h\ i d r A: t @
kool	k u@ l
koolstofatoom	k u@ l s t O f a t u@ m
koolstofdioksied	k u@ l s t O f d i O k s i t
koolstofmonoksied	k u@ l s t O f m O n O k s i t
koolwaterstowwe	k u@ l v A: t @ r s t O v @
koopbewys	k u@ p b @ v @i s
koöperasies	k u@ p @ r A: s i s
koöperatief	k u@ p @ r a t i f
koophandel	k u@ p h\ a n d @ l
koopkrag	k u@ p k r a x
koopkragpariteit	k u@ p k r a x p a r i t @i t
koop	k u@ p
koopman	k u@ p m a n
koopprys	k u@ p r @i s
koopsom	k u@ p s O m
koöpteer	k u@ p t i@ r
kooptransaksie	k u@ p t r a n s a k s i
koördinasie	k u@ r d i n A: s i
koördinate	k u@ r d i n A: t @
koördineer	k u@ r d i n i@ r
koördinering	k u@ r d i n i@ r @ N
koordlose	k u@ r t l u@ s @
koorfees	k u@ r f i@ s
koor	k u@ r
koorlede	k u@ r l i@ d @
koorsang	k u@ r s a N
koorsig	k u@ r s @ x
koors	k u@ r s
koos	k u@ s
kopbeserings	k O p b @ s i@ r @ N s
koperdraad	k u@ p @ r d r A: t
koper	k u@ p @ r
kopers	k u@ p @ r s
kophou	k O p h\ @u
kopieë	k u p i @
kopie	k u@ p i
kopiereg	k u@ p i r { x
kop	k O p
kopkrap	k O p k r a p
koppe	k O p @
koppeling	k O p @ l @ N
koppelings	k O p @ l @ N s
koppel	k O p @ l
koppeltekens	k O p @ l t i@ k @ n s
koppelvlak	k O p @ l f l a k
koppie	k O p i
koppies	k O p i s
koppige	k O p @ x @
kopseer	k O p s i@ r
kopskerm	k O p s k { r m
kopskoot	k O p s k u@ t
kopstukke	k O p s t 9 k @
kopstutte	k O p s t 9 t @
kopvel	k O p f { l
kopwond	k O p v O n t
koraal	k u r A: l
koraalriwwe	k u r A: l r @ v @
korale	k u r A: l @
koreaanse	k u r i A: n s @
kore	k u@ r @
korf	k O r f
koring	k u@ r @ N
korinte	k u@ r @ n t @
kornea	k O r n i a
koronêre	k O r u n { r @
korporaal	k O r p u r A: l
korporasie	k O r p u r A: s i
korporasies	k O r p u r A: s i s
korporatiewe	k O r p u r a t i v @
korps	k O r p s
korpus	k O r p 9 s
korrek	k u r E k
korrekte	k u r E k t @
korrektheid	k u r E k t h\ @i t
korrektief	k O r E k t i f
korrektiewe	k O r E k t i v @
korrelasie	k O r @ l A: s i
korrel	k O r @ l
korrels	k O r @ l s
korrespondensie	k O r @ s p O n d E n s i
korrespondente	k O r @ s p O n d E n t @
korrespondent	k O r @ s p O n d E n t
korridor	k O r i d O r
korrigeer	k O r @ x i@ r
korrosie	k O r u@ s i
korrupsie	k u r 9 p s i
korrupte	k O r 9 p t @
kors	k O r s
kortaf	k O r t a f
kortasem	k O r t A: s @ m
kortbroek	k O r t b r u k
korte	k O r t @
korter	k O r t @ r
kortgeknip	k O r t x @ k n @ p
korting	k O r t @ N
kortisol	k O r t @ s O l
kortisoon	k O r t i s u@ n
kortkop	k O r t k O p
kort	k O r t
kortliks	k O r t l @ k s
kortlys	k O r t l @i s
kortom	k O r t O m
kortsigtige	k O r t s @ x t @ x @
kortsluiting	k O r t s l 9y t @ N
kortspeler	k O r t s p i@ l @ r
kortste	k O r t s t @
kortstondige	k O r t s t O n d @ x @
kortstondig	k O r t s t O n d @ x
korttermyngeheue	k O r t @ r m @i n x @ h\ 2: @
korttermyn	k O r t { r m @i n
korttermynversekering	k O r t @ r m @i n f @ r s i@ k @ r @ N
kortverhaalbundel	k O r t f @ r h\ A: l b 9 n d @ l
kortverhale	k O r t f @ r h\ A: l @
kortweg	k O r t v { x
kortwiek	k O r t v i k
korvette	k O r v E t @
kosbaar	k O s b A: r
kosbaarste	k O s b A: r s t @
kosbare	k O s b A: r @
koshuise	k O s h\ 9y s @
koshuis	k O s h\ 9y s
kos	k O s
kosmaak	k O s m A: k
kosmiese	k O s m i s @
kosmologie	k O s m u l u x i
kosmos	k O s m O s
kospotte	k O s p O t @
kospryse	k O s p r @i s @
kosprys	k O s p r @i s
kosskrywer	k O s k r @i v @ r
kossoorte	k O s u@ r t @
kostebeheer	k O s t @ b @ h\ i@ r
kostebesparing	k O s t @ b @ s p A: r @ N
kostedoeltreffende	k O s t @ d u l t r E f @ n d @
kostedoeltreffend	k O s t @ d u l t r E f @ n t
koste	k O s t @
kostelike	k O s t @ l @ k @
kosteloos	k O s t @ l u@ s
koster	k O s t @ r
kostes	k O s t @ s
kostestelsel	k O s t @ s t { l s @ l
kostuums	k O s t y m s
kosyn	k u s @i n
kothuis	k O t h\ 9y s
koud	k @u t
koue	k @u @
kouer	k @u @ r
kougom	k @u x O m
kou	k @u
koukus	k @u k 9 s
koukusvergadering	k @u k 9 s f @ r x A: d @ r @ N
kousale	k @u s A: l @
kousaliteit	k @u s a l i t @i t
kouse	k @u s @
kous	k @u s
koverte	k u v { r t @
kraag	k r A: x
kraaie	k r A: i @
kraai	k r A: i
kraakbeen	k r A: k b i@ n
kraak	k r A: k
kraakvars	k r A: k f a r s
kraal	k r A: l
kraampie	k r A: m p i
kraampies	k r A: m p i s
kraamsaal	k r A: m s A: l
kraan	k r A: n
kraanse	k r A: n s @
kraans	k r A: n s
kragbote	k r a x b u@ t @
kragbron	k r a x b r O n
kragdadige	k r a x d A: d @ x @
kragdadig	k r a x d A: d @ x
kragdrade	k r a x d r A: d @
krag	k r a x
kraglewering	k r a x l i@ v @ r @ N
kragman	k r a x m a n
kragmeting	k r a x m i@ t @ N
kragmetings	k r a x m i@ t @ N s
kragonderbrekings	k r a x O n d @ r b r i@ k @ N s
kragopwekker	k r a x O p v E k @ r
kragopwekkers	k r a x O p v E k @ r s
kragsentrales	k r a x s E n t r A: l @ s
kragstasies	k r a x s t A: s i s
kragstuur	k r a x s t y r
kragte	k r a x t @
kragtens	k r a x t @ n s
kragtige	k r a x t @ x @
kragtiger	k r a x t @ x @ r
kragtig	k r a x t @ x
kragtoer	k r a x t u r
kragtoevoer	k r a x t u f u r
krake	k r A: k @
krale	k r A: l @
kramer	k r A: m @ r
krampagtig	k r a m p a x t @ x
krampe	k r a m p @
krane	k r A: n @
kranige	k r A: n @ x @
kranig	k r A: n @ x
kranse	k r a n s @
krans	k r A: n s
krap	k r a p
krappies	k r a p i s
kras	k r a s
krater	k r A: t @ r
krat	k r a t
kratte	k r a t @
kreatief	k r i a t i f
kreatiewe	k r i a t i v @
kreatiwiteit	k r i a t i v i t @i t
kredietburo	k r @ d i t b y r u@
krediete	k r @ d i t @
kredietgeriewe	k r @ d i t x @ r i v @
kredietkaarte	k r @ d i t k A: r t @
kredietkaart	k r @ d i t k A: r t
